2026-03-04 15:43:53 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 15:54:21 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 15:55:28 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:08:52 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:10:24 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:11:08 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:12:05 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:12:53 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:16:32 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:17:32 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:18:39 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:20:11 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:23:13 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:24:07 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:25:22 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:30:51 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:32:59 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:35:42 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:45:04 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:46:32 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:58:35 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:59:19 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 16:59:51 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:02:36 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:04:27 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:07:16 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:07:34 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:10:44 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:11:57 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:15:16 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:15:16 | INFO | run_tests:46 | 生成Allure报告...
2026-03-04 17:15:19 | INFO | run_tests:50 | 查看Allure报告...
2026-03-04 17:24:47 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:25:40 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:26:17 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:28:15 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:28:41 | INFO | run_tests:46 | 生成Allure报告...
2026-03-04 17:28:45 | INFO | run_tests:50 | 查看Allure报告...
2026-03-04 17:31:51 | INFO | log_utils:23 | ✅ 日志系统初始化完成
2026-03-04 17:32:44 | INFO | run_tests:46 | 生成Allure报告...
2026-03-04 17:32:50 | INFO | run_tests:50 | 查看Allure报告...
